Date,scaled_Oil,scaled_Gas,scaled_monthly_oil_price,scaled_monthly_gas_price,scaled_Revenue Oil,scaled_Revenue Gas,scaled_Total Revenue,scaled_$M Total Revenue
1997-01-01,0.722649242493682,0.845847174283807,0.1124622541418428,0.1543681085665819,0.23382297235388094,0.2598240329451387,0.2449864320854315,0.24484014569000412
1997-02-01,0.6342582286879056,0.7902504750295289,0.08838651758752958,0.04410517387616625,0.15570429905629357,0.10914568264657133,0.12639453220139177,0.1262646701740186
1997-03-01,0.766004530634158,0.9555810226041079,0.07851138496694685,0.022052586938083124,0.17510760817619486,0.10268378331479679,0.13637417975285163,0.13638203156616752
1997-04-01,0.7463674178440641,0.8850752884638775,0.06814657634864929,0.033927056827820185,0.147107617307646,0.10942078964484848,0.12082458911808205,0.12059894779441527
1997-05-01,0.8497907091446354,0.9626652467585823,0.07728719497265976,0.05258693808312129,0.19686793673436098,0.14591770922260516,0.16996845917013978,0.16997167138810199
1997-06-01,0.7384628143182007,0.9045967722317874,0.0645556190320738,0.04834605597964378,0.13727274991243604,0.13141811188432684,0.12407469964678128,0.12383650343990288
1997-07-01,0.8456485397652626,0.9273684580392836,0.06782012568350607,0.04749787955894827,0.17373974492281619,0.13364658088809217,0.14920915510246394,0.1489275596924322
1997-08-01,0.8146673824894045,0.9057617095116723,0.0701868930057945,0.07294317217981341,0.17056486346413247,0.16457705262763472,0.16083332303727274,0.16066369890732501
1997-09-01,0.7808272990349489,0.8617765428661781,0.06896270301150739,0.10602205258693809,0.15841276323084685,0.20038960070961076,0.16868006687516948,0.16875758802104412
1997-10-01,0.7629360953615559,0.9108971638777545,0.08144944095323592,0.12213740458015265,0.18059253527529506,0.2316129090474029,0.19722199848328395,0.19708619991906107
1997-11-01,0.7029335637933368,0.8720123142789957,0.07214559699665388,0.11704834605597964,0.14340611088623573,0.21686956299467897,0.16605734519524226,0.16592472683124243
1997-12-01,0.7625170771735478,0.8885565859499374,0.05696564106749366,0.061068702290076354,0.12726860900719056,0.14592449848666217,0.1238884049594283,0.12383650343990288
1998-01-01,0.7678333704339021,0.8603656443508652,0.04382600179547866,0.0390161153519932,0.09996332536654973,0.11267694622039733,0.09105445396835551,0.09105625252934035
1998-02-01,0.7388338200054997,0.6915605564670237,0.038439565820615335,0.05089058524173029,0.08168870882721391,0.10277123578407786,0.07455852107685482,0.0744637798462161
1998-03-01,1.0,0.8813926271092527,0.03076797518974944,0.0517387616624258,0.12062783090072093,0.13245743376515506,0.11351500543010792,0.11331444759206799
1998-04-01,0.9247818704797323,0.8442362633352885,0.03264506651432303,0.0678541136556404,0.10930319293563318,0.14766392800035172,0.11276507761011276,0.1125050586806961
1998-05-01,0.9993452840812372,0.9405463042297224,0.029054109197747494,0.043256997455470764,0.11606886044359033,0.1297893615095665,0.10931238593504408,0.10926750303520844
1998-06-01,0.893556285927536,0.9012208867037681,0.0193422019097364,0.045801526717557245,0.07069561160217602,0.1275138026445018,0.07826002924690931,0.07810602994738974
1998-07-01,0.8919806029497134,0.9583109220302883,0.023014771892597735,0.045801526717557245,0.07918850774734404,0.13587335006805612,0.08759313909805963,0.08741400242816677
1998-08-01,0.8712086492337642,0.9862031964149123,0.0173018852525912,0.018659881255301103,0.061588355219106106,0.10182222342616278,0.060828533902097276,0.06070416835289355
1998-09-01,0.8621910286460038,0.8560694313430295,0.03003346119317718,0.0330788804071247,0.08972816119429061,0.10434363572312681,0.08057939802351496,0.08053419668150547
1998-10-01,0.8924607279568063,1.0,0.02538153921488616,0.02374893977947412,0.0849540167109405,0.11075077136458404,0.08026170159154486,0.0801295022258195
1998-11-01,0.830184149764084,0.9025425904853546,0.01346608993715824,0.04156064461407974,0.045070356653850174,0.12203095531433612,0.05885987316254318,0.0586806960744638
1998-12-01,0.8168672279764476,0.8726691118637104,0.0,0.007633587786259527,0.01213102149481543,0.07315272252520828,0.015358926883418583,0.015378389316066388
1999-01-01,0.788823562789439,0.867890436432535,0.00954868195543948,0.018659881255301103,0.028852381264693805,0.08705271522481157,0.0325990000824804,0.03237555645487658
1999-02-01,0.6721575508386911,0.6877549144946848,0.005386435974863296,0.01187446988973706,0.0,0.05664286376830084,0.0,0.0
1999-03-01,0.7187253117538966,0.8141898009876289,0.027177017873173906,0.013570822731128085,0.05354129208706193,0.0738950813578395,0.04310691546789122,0.04289761230271144
1999-04-01,0.6468331391009442,0.7335104614611179,0.04864114910634129,0.04410517387616625,0.0811397564275888,0.10091396215527428,0.07337082850350965,0.07324969647915824
